    id  redshift           hst.wfc.F606W       hst.wfc.F606W_err           hst.wfc.F814W       hst.wfc.F814W_err       HST-WFC3_IR.F105W   HST-WFC3_IR.F105W_err       jwst.nircam.F115W   jwst.nircam.F115W_err          hst.wfc3.F125W      hst.wfc3.F125W_err          hst.wfc3.F140W      hst.wfc3.F140W_err       jwst.nircam.F150W   jwst.nircam.F150W_err          hst.wfc3.F160W      hst.wfc3.F160W_err       jwst.nircam.F200W   jwst.nircam.F200W_err       jwst.nircam.F277W   jwst.nircam.F277W_err       jwst.nircam.F356W   jwst.nircam.F356W_err       jwst.nircam.F410M   jwst.nircam.F410M_err       jwst.nircam.F444W   jwst.nircam.F444W_err 
  5354      -1.0  0.00015611221370816577  1.3217016781200297e-05    0.000528566682911031  1.6423717340788554e-05                   -99.0                   -99.0   0.0031903248420774837  2.1246553479791868e-05    0.003892056845119448   2.598629406667611e-05                   -99.0                   -99.0    0.006741217528284326   4.369637850038331e-05    0.006686462060321302  2.3530514568770182e-05    0.012434500006961797   7.211960004831013e-05     0.02236248972018545  4.1208615245963926e-05     0.03146552814919681   4.327821627106612e-05     0.03624855547697916   6.761297370536357e-05    0.039533378981325515   5.510403908889567e-05 
  5401      -1.0                     0.0   5.151404450528931e-06                     0.0   6.614318222581663e-06                   -99.0                   -99.0  5.8047831555538974e-05   4.355941629065365e-06   4.111134616619766e-05   9.215793240119986e-06                   -99.0                   -99.0   8.265393057205455e-05   6.001532944854171e-06   7.728366366980756e-05   7.664699153632205e-06  0.00016121143520735052   6.864106565353891e-06   0.0002358434027397928   3.360591069070959e-06  0.00026413227505433265  3.2470829675432513e-06   0.0002970491127679597   6.923064328397516e-06  0.00029403473233751033   4.085405374174776e-06 
  5487      -1.0  2.2306441578729802e-05  1.1579722323164803e-05   5.759019373457445e-05  1.2954222738401103e-05                   -99.0                   -99.0  0.00036003241997512145  1.1304782465766441e-05   0.0005571476951727305   2.022923011413239e-05   0.0010469404554267795   3.479620750947389e-05   0.0014067670309024457   1.933609901780205e-05     0.00137476076207415  1.8519786538660195e-05    0.002694525930349048  2.3954720288017444e-05    0.004419052702370688   2.070310288048484e-05    0.005684838187606044  2.2312466686244224e-05    0.006820442176772104   3.347251057373963e-05    0.007516391089344371  2.5589548108492067e-05 
  5488      -1.0    4.30592561240706e-05   2.007508251986422e-05  0.00017492983224415322  2.5724555908077993e-05                   -99.0                   -99.0   0.0009796628501590073  2.1151886145561245e-05   0.0014901004022887976  4.3790405427384995e-05   0.0021927382866164954   7.552279715314147e-05   0.0034112156447384154  2.8040707817707118e-05   0.0032528672458974044   5.111453048708935e-05    0.006798508098874284   3.312465069109726e-05    0.012434655202582707   3.614079168881419e-05    0.016596140976702773   4.082448724425668e-05     0.02014016958867739   6.529024621973222e-05    0.022439353320223912   5.772856922752535e-05 
  5516      -1.0   4.417973042817895e-05    9.90368027423936e-06  0.00026107308290794533  1.2202957062457074e-05                   -99.0                   -99.0   0.0013754229385841373  1.1809967811652717e-05    0.001551911282307348  1.8101000518964925e-05    0.002124801516820494   3.333303820731345e-05    0.002955971872520739   1.776165433634185e-05    0.002972528658812688   1.608854011202393e-05    0.004674272422370823  2.1479135540472284e-05    0.007990244699326212   2.205051137724854e-05    0.010167785179316833  2.1065768732331957e-05    0.012042219253524803  3.3273570156697305e-05    0.012160410924429816  2.6075430479941234e-05 
  5523      -1.0   0.0002911868562072197  1.2936365482614494e-05   0.0005228084851427657   1.652696720874956e-05                   -99.0                   -99.0   0.0017793418604402972  2.5674296932438786e-05   0.0018166256137015933  2.4798807118801026e-05                   -99.0                   -99.0    0.002724334036369199  2.4901638952556667e-05   0.0025434247206554818   2.342683829492341e-05    0.004419704844927917   1.616464497545678e-05    0.007305726380642893   1.544793502115921e-05    0.010372917814695487  1.6043832003634782e-05    0.012349670736470844  2.7817250493724035e-05    0.013624864344485541   2.193939128931641e-05 
  5935      -1.0  0.00034407045026317937  1.5199640187366907e-05   0.0008748033271497354  1.7734244274238376e-05                   -99.0                   -99.0     0.00474200237684935  2.2687593961022444e-05    0.005437315953570203  2.7932747419951576e-05    0.006833489132349596   5.017495808546945e-05    0.008532138163216806   3.782395807434335e-05    0.008201510690590866  2.7257642869075966e-05    0.013280110437065437  4.0598925925730924e-05    0.021806705708033267  5.1332613326825114e-05     0.02631960579172849  4.8441538655188236e-05    0.030729322463578294   7.525472441536412e-05     0.03383097653779311   6.804770012344732e-05 
  5947      -1.0   3.222496296532916e-05   3.376767442226139e-06   8.051194691224274e-05   4.344572418058448e-06                   -99.0                   -99.0  0.00019408771832718274  2.7677796645882516e-06  0.00020016878166616544   4.228522123625076e-06  0.00023435088625541574   9.192731813567113e-06   0.0003484252131736822  3.2900967446354912e-06  0.00034891647622181237   4.002664457201457e-06  0.00048161511464650774   3.066667240588561e-06   0.0008943214118190743  3.3711970464499427e-06   0.0012356942811245781  3.5532776525062807e-06   0.0015277023926908938   6.035099125616784e-06    0.001617324084578745  4.2296861325731055e-06 
  6070      -1.0   0.0014187500420173279  2.2994588521709963e-05    0.003625333443034619  3.4488486464283196e-05                   -99.0                   -99.0    0.014918757194430969   5.534208437235728e-05    0.015995217143399607    3.60189829031758e-05     0.02001691630841221   8.164118610304557e-05    0.025764851394143935    8.29610799500647e-05     0.02524796228804052   3.293225426933965e-05    0.038188567329963896   8.700828746006182e-05     0.06321528599800966   9.222648333843501e-05     0.08202568921543456  0.00010217341186535629     0.09916057313881746  0.00015279293907988494     0.09995129513496764   0.0001440226356497849 
  6094      -1.0  3.3000391587315467e-05  1.1079069256442652e-05   7.093783509814557e-05  1.3565038455355131e-05                   -99.0                   -99.0  0.00042946088732609406   9.740729482306104e-06  0.00046541550647822004   2.089936009524264e-05   0.0006809283414333825   3.635844663784408e-05   0.0009386746209259702  1.1418011259511855e-05   0.0009859994074936677   1.862672550463864e-05   0.0019508720302076012  1.0027933556834202e-05    0.003973759738407524  1.3519189070697475e-05    0.006484109064886619  1.7328744737870393e-05    0.008214552012283735   2.987971425656479e-05    0.009496033963866777  2.6341146854235912e-05 
